end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3054,34.039219,-118.236488,Monday,42,0,2,10,13,3,8,6,0
3056,34.03746,-118.265381,Monday,47,1,0,17,8,9,5,5,2
3057,34.035679,-118.270813,Monday,50,4,1,2,8,11,13,6,5
3058,34.035801,-118.23317,Monday,48,1,0,8,2,12,9,11,5
3062,34.047749,-118.243172,Monday,118,2,1,17,24,39,11,16,8
3063,34.048038,-118.253738,Monday,227,1,3,25,19,42,58,67,12
3064,34.04681,-118.256981,Monday,283,1,3,15,46,60,54,81,23
3065,34.060558,-118.238327,Monday,73,1,0,9,10,6,26,17,4
3066,34.063389,-118.23616,Monday,91,2,1,13,7,10,25,27,6
3067,34.045181,-118.250237,Monday,196,4,1,10,17,30,49,67,18
3068,34.0532,-118.250954,Monday,73,0,1,8,17,20,11,11,5
3069,34.05088,-118.248253,Monday,160,2,1,25,41,27,29,25,10
3074,34.04417,-118.261169,Monday,253,8,0,22,21,42,45,77,38
3075,34.04211,-118.256187,Monday,157,3,0,9,15,30,33,46,21
3076,34.0406,-118.253838,Monday,139,8,2,17,11,40,21,31,9
3077,34.039871,-118.250038,Monday,63,0,1,6,7,16,14,14,5
3078,34.064281,-118.238937,Monday,52,0,0,14,3,8,8,11,8
3079,34.05014,-118.233192,Monday,22,0,0,6,4,2,7,3,0
3081,34.031891,-118.250183,Monday,28,2,0,15,3,1,6,1,0
3082,34.04652,-118.237411,Monday,185,2,3,17,25,28,39,61,10
4125,33.766659,-118.261017,Monday,3,0,0,0,0,0,3,0,0
4126,33.710979,-118.284668,Monday,100,0,0,1,4,43,34,16,2
4127,33.74892,-118.275192,Monday,8,0,0,2,0,3,1,2,0
4129,33.725819,-118.28051,Monday,46,0,0,5,2,11,13,13,2
4130,33.719261,-118.282722,Monday,23,0,0,0,6,11,3,3,0
4131,33.738979,-118.279266,Monday,37,0,2,1,3,2,7,13,9
4132,33.74913,-118.280182,Monday,36,0,0,0,2,1,3,23,7
4133,33.733521,-118.277786,Monday,57,0,0,0,7,20,10,18,2
4134,33.74136,-118.278069,Monday,5,0,0,0,2,1,0,2,0
4135,33.772301,-118.268044,Monday,22,0,0,1,0,1,10,8,2
4136,33.771759,-118.276543,Monday,15,1,0,0,0,3,1,8,2
4220,34.074829,-118.258728,Monday,198,5,1,10,24,23,51,52,32
4227,34.0298,-118.270309,Monday,92,3,1,23,25,15,6,12,7
4245,34.02404,-118.283409,Monday,48,0,0,3,19,3,14,9,0
4246,34.023708,-118.279167,Monday,50,0,0,3,9,5,10,13,10
4247,34.033642,-118.291313,Monday,49,3,3,0,0,4,12,15,12
