end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
4328,34.020061,-118.422684,Tuesday,6,2,0,0,0,0,0,3,1
4329,34.029121,-118.403168,Tuesday,27,0,0,13,4,0,4,6,0
4330,34.025688,-118.395302,Tuesday,13,0,0,1,3,4,2,3,0
4331,34.00351,-118.43438,Tuesday,25,0,0,5,6,2,1,11,0
4332,34.02948,-118.410469,Tuesday,14,0,0,4,0,0,8,0,2
4333,33.997231,-118.445969,Tuesday,11,0,0,2,3,2,3,1,0
4334,34.02018,-118.40403,Tuesday,15,0,0,3,1,1,2,7,1
4335,34.023392,-118.399223,Tuesday,14,0,0,3,0,1,5,4,1
4336,34.022449,-118.438332,Tuesday,7,0,1,0,2,3,1,0,0
4337,33.993019,-118.414909,Tuesday,10,0,0,0,3,1,2,4,0
4338,34.01376,-118.417801,Tuesday,25,0,0,0,13,3,6,1,2
4340,34.02338,-118.479637,Tuesday,14,0,0,0,1,2,6,4,1
4341,33.9953,-118.464844,Tuesday,18,0,0,1,4,4,2,5,2
4342,33.991161,-118.468292,Tuesday,41,0,0,1,17,2,12,5,4
4343,33.998322,-118.460983,Tuesday,28,0,0,1,1,3,5,16,2
4344,34.014309,-118.491341,Tuesday,220,1,0,4,21,44,83,57,10
4345,33.99556,-118.481552,Tuesday,354,2,0,1,57,74,111,87,22
4346,33.984341,-118.47155,Tuesday,234,0,1,2,24,71,72,54,10
4347,33.984928,-118.469963,Tuesday,31,0,0,0,6,5,9,8,3
4348,34.000881,-118.46891,Tuesday,30,0,0,0,10,7,7,6,0
4349,33.996239,-118.477448,Tuesday,78,0,9,14,19,8,14,11,3
4350,33.9986,-118.472977,Tuesday,12,0,0,3,0,3,3,3,0
4351,33.993729,-118.45356,Tuesday,24,0,1,1,1,8,8,4,1
4352,33.988419,-118.45163,Tuesday,19,0,0,0,1,6,3,8,1
4353,33.988129,-118.471741,Tuesday,43,1,0,0,6,6,14,12,4
4354,34.017681,-118.409081,Tuesday,21,0,1,1,3,2,5,8,1
4372,34.027882,-118.388901,Tuesday,13,0,0,3,0,3,7,0,0
4378,34.022331,-118.415771,Tuesday,14,0,0,0,0,0,5,6,3
4379,34.017368,-118.420601,Tuesday,4,0,0,0,1,1,0,0,2
4380,33.982922,-118.410927,Tuesday,18,0,0,1,15,1,0,1,0
4381,34.000332,-118.402321,Tuesday,6,0,0,0,3,1,1,1,0
4382,34.030472,-118.420982,Tuesday,2,0,0,0,0,2,0,0,0
4383,34.009022,-118.425011,Tuesday,22,0,0,0,7,7,2,5,1
4384,33.990318,-118.412048,Tuesday,7,0,0,0,0,4,1,2,0
4385,34.036678,-118.425339,Tuesday,8,0,0,1,0,0,3,4,0
4387,34.03352,-118.241837,Tuesday,58,1,2,23,16,13,2,1,0
4389,34.035351,-118.434143,Tuesday,19,0,0,1,6,2,5,2,3
4390,34.069271,-118.296593,Tuesday,59,2,1,0,9,9,8,22,8
4393,34.026829,-118.393517,Tuesday,14,0,0,0,8,0,4,2,0
4394,33.980789,-118.414902,Tuesday,19,0,0,1,8,9,1,0,0
