end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3078,34.064281,-118.238937,Friday,69,4,2,9,11,5,16,15,7
3079,34.05014,-118.233192,Friday,18,0,1,5,3,1,5,1,2
3081,34.031891,-118.250183,Friday,37,2,0,17,6,4,2,2,4
3082,34.04652,-118.237411,Friday,212,11,2,8,27,29,44,69,22
4125,33.766659,-118.261017,Friday,1,0,0,0,0,1,0,0,0
4126,33.710979,-118.284668,Friday,62,2,1,0,2,10,33,12,2
4127,33.74892,-118.275192,Friday,4,0,0,0,0,1,1,2,0
4129,33.725819,-118.28051,Friday,51,0,0,2,6,6,3,27,7
4130,33.719261,-118.282722,Friday,33,0,1,0,8,10,4,10,0
4131,33.738979,-118.279266,Friday,50,4,0,4,7,3,9,18,5
4132,33.74913,-118.280182,Friday,33,2,0,0,2,5,3,8,13
4133,33.733521,-118.277786,Friday,55,0,0,5,1,15,11,18,5
4134,33.74136,-118.278069,Friday,10,0,0,0,0,2,4,4,0
4135,33.772301,-118.268044,Friday,23,1,1,0,3,1,0,17,0
4136,33.771759,-118.276543,Friday,1,0,0,0,0,0,0,1,0
4220,34.074829,-118.258728,Friday,151,9,1,3,24,17,44,32,21
4227,34.0298,-118.270309,Friday,88,6,0,27,27,5,12,4,7
4245,34.02404,-118.283409,Friday,46,0,1,7,17,5,6,6,4
4246,34.023708,-118.279167,Friday,38,2,0,0,4,8,13,3,8
4247,34.033642,-118.291313,Friday,27,0,0,0,0,6,8,10,3
4248,34.028351,-118.288673,Friday,67,4,0,6,5,9,18,21,4
4249,34.020302,-118.281181,Friday,110,1,0,7,22,18,17,17,28
4250,34.03017,-118.280952,Friday,45,2,0,6,5,6,12,12,2
4254,34.028679,-118.284111,Friday,30,1,0,0,3,5,8,8,5
4266,34.026291,-118.277687,Friday,125,7,2,1,10,16,21,29,39
4267,34.027618,-118.280678,Friday,13,3,0,0,2,5,2,1,0
4273,34.02586,-118.284103,Friday,93,1,1,6,9,12,16,27,21
4275,34.01252,-118.285896,Friday,36,7,0,0,3,2,11,10,3
4285,0,0,Friday,341,8,3,13,63,93,88,51,22
4286,0,0,Friday,147,5,0,3,20,40,44,31,4
4293,34.062279,-118.271523,Friday,25,1,0,2,2,1,6,3,10
4300,34.04887,-118.2743,Friday,33,0,0,2,6,5,9,8,3
4301,34.099049,-118.291496,Friday,24,1,0,6,3,1,6,4,3
4302,34.092491,-118.291443,Friday,11,0,0,1,4,0,3,3,0
4303,34.098011,-118.287071,Friday,14,0,0,1,5,0,4,4,0
4304,34.06258,-118.290092,Friday,100,5,0,8,10,12,24,17,24
4306,34.057652,-118.292183,Friday,23,2,1,1,0,2,10,3,4
4311,34.059689,-118.294662,Friday,91,3,0,1,5,19,19,29,15
4312,34.06699,-118.290878,Friday,43,6,1,0,3,3,7,12,11
4313,34.056808,-118.275002,Friday,37,0,0,6,8,4,7,8,4
4314,34.057709,-118.279762,Friday,64,4,0,8,8,15,10,7,12
4315,34.054031,-118.27092,Friday,86,7,0,8,7,9,17,28,10
4322,34.005871,-118.429161,Friday,23,0,0,0,2,4,7,7,3
4323,33.99958,-118.44136,Friday,8,0,0,0,1,1,3,2,1
4324,34.02655,-118.408463,Friday,18,0,2,0,2,5,5,3,1
4325,34.022518,-118.400589,Friday,16,0,0,4,8,0,1,3,0
4328,34.020061,-118.422684,Friday,11,2,0,1,2,2,3,1,0
4329,34.029121,-118.403168,Friday,20,0,0,8,2,4,2,4,0
4330,34.025688,-118.395302,Friday,28,0,0,5,7,4,2,10,0
4331,34.00351,-118.43438,Friday,22,0,0,5,8,2,4,3,0
4332,34.02948,-118.410469,Friday,16,0,0,3,0,0,8,4,1
4333,33.997231,-118.445969,Friday,12,1,0,1,3,1,4,2,0
4334,34.02018,-118.40403,Friday,19,0,0,1,4,1,8,4,1
4335,34.023392,-118.399223,Friday,16,1,0,3,3,1,0,5,3
4336,34.022449,-118.438332,Friday,6,0,0,0,0,0,4,2,0
4337,33.993019,-118.414909,Friday,9,0,0,0,2,0,5,2,0
4338,34.01376,-118.417801,Friday,11,1,0,0,0,3,4,2,1
4340,34.02338,-118.479637,Friday,15,0,0,1,6,1,2,5,0
4341,33.9953,-118.464844,Friday,5,1,0,0,1,0,1,2,0
4342,33.991161,-118.468292,Friday,58,0,0,1,8,7,22,19,1
4343,33.998322,-118.460983,Friday,12,0,0,0,1,1,3,7,0
