end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
4313,34.056808,-118.275002,Sunday,45,5,1,1,9,7,7,11,4
4314,34.057709,-118.279762,Sunday,63,8,2,0,7,9,8,20,9
4315,34.054031,-118.27092,Sunday,74,3,2,2,7,14,17,19,10
4322,34.005871,-118.429161,Sunday,21,0,0,0,7,3,6,5,0
4323,33.99958,-118.44136,Sunday,12,0,0,0,4,1,4,3,0
4324,34.02655,-118.408463,Sunday,15,1,0,0,1,4,8,1,0
4325,34.022518,-118.400589,Sunday,16,0,0,4,9,1,2,0,0
4328,34.020061,-118.422684,Sunday,8,1,0,0,1,3,1,2,0
4329,34.029121,-118.403168,Sunday,22,0,0,5,5,8,3,1,0
4330,34.025688,-118.395302,Sunday,14,0,1,0,0,6,1,6,0
4331,34.00351,-118.43438,Sunday,27,0,0,0,15,10,2,0,0
4332,34.02948,-118.410469,Sunday,9,0,0,0,0,5,2,1,1
4333,33.997231,-118.445969,Sunday,14,0,0,0,6,1,5,2,0
4334,34.02018,-118.40403,Sunday,21,0,1,1,11,4,2,1,1
4335,34.023392,-118.399223,Sunday,21,0,0,1,8,5,3,1,3
4336,34.022449,-118.438332,Sunday,18,0,0,0,6,4,3,5,0
4337,33.993019,-118.414909,Sunday,9,0,0,0,2,0,5,1,1
4338,34.01376,-118.417801,Sunday,8,1,0,1,1,1,1,1,2
4340,34.02338,-118.479637,Sunday,22,0,0,3,2,7,9,1,0
4341,33.9953,-118.464844,Sunday,8,0,0,0,3,2,1,2,0
4342,33.991161,-118.468292,Sunday,43,0,0,0,6,14,12,7,4
4343,33.998322,-118.460983,Sunday,11,0,0,0,3,1,4,3,0
4344,34.014309,-118.491341,Sunday,238,1,0,8,42,55,73,49,10
4345,33.99556,-118.481552,Sunday,438,1,0,11,57,147,129,82,11
4346,33.984341,-118.47155,Sunday,309,4,1,6,46,94,82,67,9
4347,33.984928,-118.469963,Sunday,48,0,0,1,7,13,13,13,1
4348,34.000881,-118.46891,Sunday,29,0,0,1,3,9,7,8,1
4349,33.996239,-118.477448,Sunday,52,0,0,0,9,13,12,15,3
4350,33.9986,-118.472977,Sunday,17,0,0,0,0,7,5,2,3
