end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
4220,34.074829,-118.258728,Thursday,134,0,4,6,18,17,41,40,8
4227,34.0298,-118.270309,Thursday,98,3,0,20,28,7,15,16,9
4245,34.02404,-118.283409,Thursday,50,0,0,5,13,14,9,6,3
4246,34.023708,-118.279167,Thursday,47,3,0,3,8,4,11,9,9
4247,34.033642,-118.291313,Thursday,32,2,1,1,0,1,5,20,2
4248,34.028351,-118.288673,Thursday,72,2,0,4,8,7,19,25,7
4249,34.020302,-118.281181,Thursday,119,1,1,10,30,18,22,27,10
4250,34.03017,-118.280952,Thursday,50,0,0,3,12,5,11,14,5
4254,34.028679,-118.284111,Thursday,21,1,0,1,0,6,7,5,1
4266,34.026291,-118.277687,Thursday,130,1,2,1,19,12,29,39,27
4267,34.027618,-118.280678,Thursday,10,0,0,0,2,2,0,3,3
4273,34.02586,-118.284103,Thursday,76,2,0,3,11,11,13,25,11
4275,34.01252,-118.285896,Thursday,31,8,0,0,2,3,10,3,5
4285,0,0,Thursday,216,3,2,11,35,41,42,61,21
4286,0,0,Thursday,124,0,1,2,22,25,43,28,3
4293,34.062279,-118.271523,Thursday,35,0,1,2,3,7,3,13,6
4300,34.04887,-118.2743,Thursday,37,0,1,0,5,8,11,9,3
4301,34.099049,-118.291496,Thursday,23,2,0,4,4,4,4,3,2
4302,34.092491,-118.291443,Thursday,18,0,0,0,3,6,0,6,3
4303,34.098011,-118.287071,Thursday,15,1,0,2,3,3,0,5,1
4304,34.06258,-118.290092,Thursday,82,0,1,12,7,14,14,15,19
4306,34.057652,-118.292183,Thursday,36,2,0,2,3,5,3,12,9
4311,34.059689,-118.294662,Thursday,76,1,1,1,7,14,13,28,11
4312,34.06699,-118.290878,Thursday,33,0,0,2,2,8,6,8,7
4313,34.056808,-118.275002,Thursday,30,0,1,2,8,7,2,6,4
4314,34.057709,-118.279762,Thursday,73,6,1,3,12,5,12,27,7
4315,34.054031,-118.27092,Thursday,70,4,0,4,7,17,14,15,9
4322,34.005871,-118.429161,Thursday,16,0,0,0,3,4,0,7,2
4323,33.99958,-118.44136,Thursday,5,0,0,0,2,0,1,2,0
4324,34.02655,-118.408463,Thursday,14,0,0,0,0,1,3,7,3
4325,34.022518,-118.400589,Thursday,17,0,1,2,6,1,0,2,5
4328,34.020061,-118.422684,Thursday,7,1,0,1,1,1,2,1,0
4329,34.029121,-118.403168,Thursday,26,2,0,5,5,3,5,6,0
4330,34.025688,-118.395302,Thursday,26,0,0,3,7,2,7,7,0
4331,34.00351,-118.43438,Thursday,25,0,0,3,11,5,1,1,4
4332,34.02948,-118.410469,Thursday,16,0,0,5,0,0,6,4,1
4333,33.997231,-118.445969,Thursday,9,0,0,2,2,0,2,1,2
4334,34.02018,-118.40403,Thursday,14,2,0,1,0,5,3,3,0
4335,34.023392,-118.399223,Thursday,14,0,0,3,0,0,4,7,0
4336,34.022449,-118.438332,Thursday,14,0,0,0,0,3,3,7,1
4337,33.993019,-118.414909,Thursday,8,0,0,0,1,1,3,1,2
4338,34.01376,-118.417801,Thursday,13,0,0,1,1,1,5,5,0
4340,34.02338,-118.479637,Thursday,20,0,0,1,4,6,6,3,0
4341,33.9953,-118.464844,Thursday,4,0,0,0,1,0,3,0,0
4342,33.991161,-118.468292,Thursday,50,1,0,5,11,12,5,13,3
4343,33.998322,-118.460983,Thursday,21,0,0,0,2,2,4,13,0
4344,34.014309,-118.491341,Thursday,209,1,0,6,21,47,65,54,15
4345,33.99556,-118.481552,Thursday,383,4,0,4,37,122,103,87,26
4346,33.984341,-118.47155,Thursday,182,0,0,3,31,44,52,43,9
4347,33.984928,-118.469963,Thursday,98,0,0,2,5,39,19,28,5
4348,34.000881,-118.46891,Thursday,32,0,0,1,8,7,12,4,0
4349,33.996239,-118.477448,Thursday,71,0,9,11,18,11,13,8,1
4350,33.9986,-118.472977,Thursday,8,0,0,0,0,2,1,3,2
4351,33.993729,-118.45356,Thursday,38,0,0,2,3,8,12,7,6
4352,33.988419,-118.45163,Thursday,30,0,0,1,2,9,3,6,9
4353,33.988129,-118.471741,Thursday,53,0,0,3,4,9,18,16,3
4354,34.017681,-118.409081,Thursday,29,1,0,4,1,11,3,6,3
4372,34.027882,-118.388901,Thursday,13,0,0,3,0,2,3,3,2
4378,34.022331,-118.415771,Thursday,5,0,0,0,0,0,1,2,2
4379,34.017368,-118.420601,Thursday,2,0,0,2,0,0,0,0,0
4380,33.982922,-118.410927,Thursday,16,1,0,1,8,0,1,3,2
4381,34.000332,-118.402321,Thursday,7,0,0,0,1,2,3,0,1
4382,34.030472,-118.420982,Thursday,4,0,0,2,0,0,2,0,0
4383,34.009022,-118.425011,Thursday,13,0,0,0,0,1,3,8,1
4384,33.990318,-118.412048,Thursday,2,0,0,0,0,0,0,2,0
