start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
4314,34.057709,-118.279762,Wednesday,0,0,24,11,9,7,13,3,67
4315,34.054031,-118.27092,Wednesday,2,0,16,5,16,13,16,12,80
4322,34.005871,-118.429161,Wednesday,1,0,0,1,8,3,7,0,20
4323,33.99958,-118.44136,Wednesday,0,0,3,9,3,0,2,0,17
4324,34.02655,-118.408463,Wednesday,0,0,10,10,3,2,9,0,34
4325,34.022518,-118.400589,Wednesday,0,0,3,10,1,3,3,0,20
4328,34.020061,-118.422684,Wednesday,1,0,2,6,3,2,0,2,16
4329,34.029121,-118.403168,Wednesday,1,0,1,1,4,10,5,2,24
4330,34.025688,-118.395302,Wednesday,0,3,7,7,3,1,4,3,28
4331,34.00351,-118.43438,Wednesday,1,0,1,8,4,2,5,0,21
4332,34.02948,-118.410469,Wednesday,0,0,5,2,3,2,3,0,15
4333,33.997231,-118.445969,Wednesday,0,2,0,3,4,1,1,0,11
4334,34.02018,-118.40403,Wednesday,0,0,8,6,3,2,6,0,25
4335,34.023392,-118.399223,Wednesday,1,1,3,2,6,8,5,1,27
4336,34.022449,-118.438332,Wednesday,0,0,1,1,1,0,4,0,7
4337,33.993019,-118.414909,Wednesday,0,0,2,0,0,2,0,0,4
4338,34.01376,-118.417801,Wednesday,0,0,3,0,0,4,2,2,11
4340,34.02338,-118.479637,Wednesday,0,0,1,2,8,4,5,1,21
4341,33.9953,-118.464844,Wednesday,0,0,1,0,1,3,0,0,5
4342,33.991161,-118.468292,Wednesday,0,0,0,5,18,10,7,0,40
4343,33.998322,-118.460983,Wednesday,0,0,5,10,2,2,7,0,26
4344,34.014309,-118.491341,Wednesday,5,1,15,32,36,30,37,22,178
4345,33.99556,-118.481552,Wednesday,0,0,14,59,122,115,70,9,389
4346,33.984341,-118.47155,Wednesday,0,0,9,36,49,52,43,9,198
4347,33.984928,-118.469963,Wednesday,0,0,5,20,22,17,19,2,85
4348,34.000881,-118.46891,Wednesday,0,0,0,9,3,3,10,2,27
4349,33.996239,-118.477448,Wednesday,1,0,1,11,22,24,16,2,77
4350,33.9986,-118.472977,Wednesday,0,0,0,3,2,0,2,0,7
4351,33.993729,-118.45356,Wednesday,0,9,2,0,5,5,2,0,23
4352,33.988419,-118.45163,Wednesday,0,0,1,2,5,6,13,0,27
4353,33.988129,-118.471741,Wednesday,0,0,4,7,6,10,15,2,44
4354,34.017681,-118.409081,Wednesday,1,0,1,2,2,5,4,2,17
4372,34.027882,-118.388901,Wednesday,0,0,3,1,8,9,3,1,25
4378,34.022331,-118.415771,Wednesday,0,0,10,1,0,0,0,0,11
4379,34.017368,-118.420601,Wednesday,0,0,1,0,0,0,3,0,4
4380,33.982922,-118.410927,Wednesday,0,0,0,3,0,2,5,0,10
4381,34.000332,-118.402321,Wednesday,0,0,0,0,0,0,2,0,2
