start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
4345,33.99556,-118.481552,Tuesday,0,0,7,74,100,105,73,15,374
4346,33.984341,-118.47155,Tuesday,1,0,5,60,79,91,51,11,298
4347,33.984928,-118.469963,Tuesday,0,0,3,17,21,21,4,4,70
4348,34.000881,-118.46891,Tuesday,0,0,2,0,10,8,6,2,28
4349,33.996239,-118.477448,Tuesday,0,0,2,1,24,26,19,2,74
4350,33.9986,-118.472977,Tuesday,0,0,2,2,5,2,5,0,16
4351,33.993729,-118.45356,Tuesday,0,10,4,0,4,5,1,1,25
4352,33.988419,-118.45163,Tuesday,0,0,0,3,11,7,6,2,29
4353,33.988129,-118.471741,Tuesday,1,0,2,6,9,13,20,0,51
4354,34.017681,-118.409081,Tuesday,0,0,1,3,3,3,6,2,18
4372,34.027882,-118.388901,Tuesday,0,0,1,0,1,11,0,0,13
4378,34.022331,-118.415771,Tuesday,1,0,12,0,0,1,1,0,15
4379,34.017368,-118.420601,Tuesday,0,0,0,1,0,0,2,0,3
4380,33.982922,-118.410927,Tuesday,0,0,0,0,3,2,5,0,10
4381,34.000332,-118.402321,Tuesday,0,0,1,2,3,0,1,0,7
4382,34.030472,-118.420982,Tuesday,0,1,1,0,3,1,3,0,9
4383,34.009022,-118.425011,Tuesday,0,0,5,16,5,1,2,0,29
4384,33.990318,-118.412048,Tuesday,0,0,0,0,4,0,1,0,5
4385,34.036678,-118.425339,Tuesday,0,0,1,6,1,4,4,1,17
4387,34.03352,-118.241837,Tuesday,0,0,2,2,15,13,16,1,49
4389,34.035351,-118.434143,Tuesday,1,0,0,2,3,6,7,2,21
4390,34.069271,-118.296593,Tuesday,3,1,13,11,10,6,12,6,62
4393,34.026829,-118.393517,Tuesday,1,0,0,8,1,5,5,0,20
4394,33.980789,-118.414902,Tuesday,0,0,0,1,9,1,3,0,14
4396,34.02697,-118.428207,Tuesday,0,0,0,4,2,0,0,2,8
4397,34.01688,-118.428452,Tuesday,0,0,0,3,13,0,4,1,21
4400,34.027828,-118.247139,Tuesday,0,0,5,1,3,14,7,6,36
4401,34.075611,-118.291862,Tuesday,2,6,7,10,5,9,6,7,52
4404,34.04813,-118.271027,Tuesday,0,1,6,7,4,13,11,5,47
4405,34.051899,-118.293678,Tuesday,0,0,7,7,2,5,5,4,30
4406,34.101891,-118.300613,Tuesday,0,0,3,5,2,3,0,1,14
4408,34.011799,-118.419533,Tuesday,1,0,3,5,7,2,1,0,19
4409,33.986511,-118.441917,Tuesday,0,0,0,0,6,6,5,1,18
4410,34.063351,-118.296799,Tuesday,10,2,3,8,19,20,20,21,103
4413,34.158321,-118.370811,Tuesday,0,1,4,5,0,1,1,0,12
4414,34.16835,-118.387497,Tuesday,0,0,0,7,9,5,0,0,21
4415,34.168331,-118.396156,Tuesday,1,0,0,7,0,5,0,1,14
4416,34.157581,-118.38826,Tuesday,0,0,1,5,1,1,2,0,10
4417,34.164951,-118.363632,Tuesday,0,1,0,2,1,1,2,0,7
4418,34.150688,-118.366127,Tuesday,0,0,1,5,0,0,0,0,6
4419,34.165218,-118.355148,Tuesday,0,0,0,1,0,0,2,0,3
4420,34.168629,-118.377068,Tuesday,6,0,9,5,5,10,33,13,81
4422,34.152142,-118.361954,Tuesday,1,0,0,0,1,0,0,0,2
4425,34.152,-118.350601,Tuesday,0,0,1,0,3,0,2,1,7
4426,34.149872,-118.378891,Tuesday,0,0,3,8,1,2,0,0,14
4427,34.162891,-118.370163,Tuesday,0,0,0,4,1,0,3,1,9
4428,34.161709,-118.372818,Tuesday,0,0,4,0,2,1,4,1,12
4429,34.168751,-118.36187,Tuesday,0,0,2,2,6,4,1,1,16
4430,34.172451,-118.370369,Tuesday,1,0,3,3,0,1,0,0,8
4431,34.177662,-118.382278,Tuesday,0,0,2,8,1,2,0,1,14
4432,34.139568,-118.362251,Tuesday,0,0,0,0,0,2,1,1,4
4436,34.105782,-118.291939,Tuesday,0,0,1,2,0,0,0,0,3
4437,34.105358,-118.28727,Tuesday,0,0,3,2,0,1,0,0,6
4438,34.094929,-118.284561,Tuesday,0,0,1,0,0,1,0,0,2
4440,34.061661,-118.298241,Tuesday,0,0,0,0,2,0,0,0,2
4441,34.026619,-118.281807,Tuesday,0,0,0,0,0,1,1,0,2
4442,34.098,-118.300468,Tuesday,0,0,1,0,0,0,0,0,1
4443,34.02166,-118.278687,Tuesday,0,0,4,1,0,1,4,1,11
4444,34.061619,-118.305573,Tuesday,0,0,0,1,1,1,1,0,4
4445,34.073639,-118.251572,Tuesday,0,0,1,0,0,0,0,0,1
