start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
4311,34.059689,-118.294662,Sunday,5,0,0,19,14,20,22,11,91
4312,34.06699,-118.290878,Sunday,3,0,0,4,6,9,7,7,36
4313,34.056808,-118.275002,Sunday,1,1,2,4,8,8,15,4,43
4314,34.057709,-118.279762,Sunday,2,1,2,15,11,11,16,5,63
4315,34.054031,-118.27092,Sunday,2,2,3,19,16,19,13,10,84
4322,34.005871,-118.429161,Sunday,0,0,0,4,13,8,3,0,28
4323,33.99958,-118.44136,Sunday,0,0,0,2,2,5,0,1,10
4324,34.02655,-118.408463,Sunday,2,0,1,5,8,1,1,0,18
4325,34.022518,-118.400589,Sunday,0,4,4,14,1,6,1,0,30
4328,34.020061,-118.422684,Sunday,1,0,0,3,1,1,3,0,9
4329,34.029121,-118.403168,Sunday,1,0,3,5,8,2,2,1,22
4330,34.025688,-118.395302,Sunday,0,0,1,8,4,7,1,4,25
4331,34.00351,-118.43438,Sunday,0,0,0,11,11,5,3,0,30
4332,34.02948,-118.410469,Sunday,0,0,1,3,4,2,2,0,12
4333,33.997231,-118.445969,Sunday,0,0,0,7,4,1,2,0,14
4334,34.02018,-118.40403,Sunday,0,0,0,7,1,5,3,0,16
4335,34.023392,-118.399223,Sunday,2,0,2,8,5,3,1,1,22
4336,34.022449,-118.438332,Sunday,0,0,0,5,5,8,0,0,18
4337,33.993019,-118.414909,Sunday,0,0,0,1,1,4,0,1,7
4338,34.01376,-118.417801,Sunday,0,0,0,4,2,3,1,0,10
4340,34.02338,-118.479637,Sunday,0,0,5,7,12,9,1,0,34
4341,33.9953,-118.464844,Sunday,0,0,0,2,0,3,0,0,5
4342,33.991161,-118.468292,Sunday,0,0,2,9,15,14,14,1,55
4343,33.998322,-118.460983,Sunday,0,0,0,3,4,2,3,0,12
4344,34.014309,-118.491341,Sunday,1,0,13,52,45,68,33,11,223
4345,33.99556,-118.481552,Sunday,0,0,16,86,126,121,77,4,430
4346,33.984341,-118.47155,Sunday,0,0,15,84,110,91,61,9,370
4347,33.984928,-118.469963,Sunday,1,0,7,12,25,23,12,0,80
