start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3046,34.052872,-118.24749,Thursday,1,0,11,13,17,25,11,15,93
3047,34.039982,-118.266403,Thursday,4,1,16,25,17,19,37,12,131
3048,34.041691,-118.235352,Thursday,0,0,8,9,16,34,23,1,91
3049,34.056969,-118.253593,Thursday,3,0,24,27,37,47,32,13,183
3051,34.045422,-118.253517,Thursday,4,1,8,17,33,13,34,20,130
3052,34.051102,-118.264557,Thursday,1,4,13,22,19,12,23,15,109
3054,34.039219,-118.236488,Thursday,1,1,5,3,15,8,16,4,53
3056,34.03746,-118.265381,Thursday,2,0,6,7,10,8,17,3,53
3057,34.035679,-118.270813,Thursday,1,0,2,10,10,17,5,2,47
3058,34.035801,-118.23317,Thursday,2,1,4,7,9,4,14,4,45
3062,34.047749,-118.243172,Thursday,2,0,12,18,27,27,28,10,124
3063,34.048038,-118.253738,Thursday,2,1,19,17,37,44,87,9,216
3064,34.04681,-118.256981,Thursday,2,2,10,37,50,48,47,26,222
3065,34.060558,-118.238327,Thursday,0,9,5,6,7,9,8,5,49
3066,34.063389,-118.23616,Thursday,1,0,58,22,8,5,16,6,116
3067,34.045181,-118.250237,Thursday,5,1,43,26,44,34,46,27,226
3068,34.0532,-118.250954,Thursday,2,0,8,20,41,46,51,18,186
3069,34.05088,-118.248253,Thursday,1,0,13,30,40,22,31,19,156
3074,34.04417,-118.261169,Thursday,9,0,6,32,59,54,69,28,257
3075,34.04211,-118.256187,Thursday,2,1,23,16,32,22,29,20,145
3076,34.0406,-118.253838,Thursday,0,0,6,25,27,22,26,9,115
3077,34.039871,-118.250038,Thursday,1,1,6,16,18,8,6,2,58
3078,34.064281,-118.238937,Thursday,1,0,13,2,6,18,9,7,56
3079,34.05014,-118.233192,Thursday,0,0,0,3,7,15,2,0,27
3081,34.031891,-118.250183,Thursday,0,0,1,0,3,19,3,0,26
3082,34.04652,-118.237411,Thursday,2,1,30,23,24,15,38,10,143
4125,33.766659,-118.261017,Thursday,0,0,0,0,1,0,0,0,1
4126,33.710979,-118.284668,Thursday,0,0,16,42,15,35,25,4,137
4127,33.74892,-118.275192,Thursday,0,0,0,1,0,1,7,0,9
4129,33.725819,-118.28051,Thursday,0,0,8,10,7,19,11,2,57
4130,33.719261,-118.282722,Thursday,0,0,9,5,2,13,3,0,32
4131,33.738979,-118.279266,Thursday,0,0,2,6,5,6,11,5,35
4132,33.74913,-118.280182,Thursday,0,0,0,1,0,10,7,6,24
4133,33.733521,-118.277786,Thursday,0,0,6,14,3,9,5,0,37
4134,33.74136,-118.278069,Thursday,0,0,0,3,6,1,1,2,13
4135,33.772301,-118.268044,Thursday,0,0,1,0,6,2,7,2,18
4136,33.771759,-118.276543,Thursday,0,0,0,1,4,0,7,0,12
4220,34.074829,-118.258728,Thursday,1,0,52,27,27,13,23,16,159
4227,34.0298,-118.270309,Thursday,3,0,9,7,22,31,36,2,110
4245,34.02404,-118.283409,Thursday,1,0,0,7,11,23,13,7,62
4246,34.023708,-118.279167,Thursday,3,0,4,8,5,11,12,7,50
4247,34.033642,-118.291313,Thursday,0,1,2,2,1,7,6,2,21
4248,34.028351,-118.288673,Thursday,3,0,5,15,6,9,16,4,58
4249,34.020302,-118.281181,Thursday,0,0,6,11,14,32,42,5,110
4250,34.03017,-118.280952,Thursday,0,0,10,7,9,5,20,4,55
4254,34.028679,-118.284111,Thursday,6,0,2,5,3,7,6,1,30
4266,34.026291,-118.277687,Thursday,3,0,5,16,14,26,39,21,124
4267,34.027618,-118.280678,Thursday,0,0,2,0,1,2,1,2,8
4273,34.02586,-118.284103,Thursday,1,0,0,6,12,25,30,5,79
4275,34.01252,-118.285896,Thursday,0,0,0,1,5,5,6,3,20
4285,0,0,Thursday,0,1,13,34,28,32,40,23,171
4286,0,0,Thursday,0,0,4,16,28,23,15,4,90
4293,34.062279,-118.271523,Thursday,0,1,10,6,7,8,3,7,42
4300,34.04887,-118.2743,Thursday,0,0,2,11,7,2,9,2,33
4301,34.099049,-118.291496,Thursday,0,0,3,4,10,6,3,3,29
4302,34.092491,-118.291443,Thursday,0,0,0,3,6,0,5,5,19
4303,34.098011,-118.287071,Thursday,0,0,2,4,2,4,5,0,17
4304,34.06258,-118.290092,Thursday,1,1,4,11,15,15,25,14,86
4306,34.057652,-118.292183,Thursday,1,3,7,8,8,2,7,6,42
4311,34.059689,-118.294662,Thursday,1,0,3,11,14,14,18,7,68
4312,34.06699,-118.290878,Thursday,2,0,3,2,8,6,6,7,34
4313,34.056808,-118.275002,Thursday,0,0,2,3,4,1,5,6,21
4314,34.057709,-118.279762,Thursday,0,2,20,15,6,8,19,3,73
4315,34.054031,-118.27092,Thursday,2,0,8,14,23,9,17,22,95
4322,34.005871,-118.429161,Thursday,0,0,1,4,10,0,7,1,23
4323,33.99958,-118.44136,Thursday,0,0,0,8,1,2,4,0,15
4324,34.02655,-118.408463,Thursday,0,1,3,7,1,6,3,0,21
4325,34.022518,-118.400589,Thursday,0,2,1,5,1,4,2,0,15
4328,34.020061,-118.422684,Thursday,0,0,3,1,1,2,2,0,9
4329,34.029121,-118.403168,Thursday,2,1,2,3,3,10,7,1,29
4330,34.025688,-118.395302,Thursday,0,0,10,5,6,5,5,2,33
4331,34.00351,-118.43438,Thursday,0,0,2,12,7,2,4,0,27
4332,34.02948,-118.410469,Thursday,0,0,1,1,2,4,1,0,9
4333,33.997231,-118.445969,Thursday,0,1,1,4,0,1,2,0,9
4334,34.02018,-118.40403,Thursday,0,0,2,7,0,2,0,0,11
4335,34.023392,-118.399223,Thursday,1,0,3,1,3,7,5,0,20
4336,34.022449,-118.438332,Thursday,0,0,2,1,2,7,4,0,16
4337,33.993019,-118.414909,Thursday,0,0,0,1,3,2,1,0,7
4338,34.01376,-118.417801,Thursday,1,0,2,1,0,0,2,0,6
4340,34.02338,-118.479637,Thursday,0,0,0,4,5,6,3,3,21
4341,33.9953,-118.464844,Thursday,0,0,1,0,1,3,0,0,5
4342,33.991161,-118.468292,Thursday,2,0,2,11,23,11,8,2,59
4343,33.998322,-118.460983,Thursday,0,0,3,11,3,6,4,1,28
4344,34.014309,-118.491341,Thursday,5,0,17,20,33,49,43,8,175
4345,33.99556,-118.481552,Thursday,0,0,14,56,85,99,84,17,355
4346,33.984341,-118.47155,Thursday,0,0,8,63,65,57,40,3,236
4347,33.984928,-118.469963,Thursday,0,0,2,16,38,35,40,9,140
4348,34.000881,-118.46891,Thursday,0,0,1,5,5,10,8,0,29
